# 	beta_0, 	beta_D, 	rho, 	p, 	c
0.732528 0.502623 0.108778 0.663494 0.025390
0.000862 0.517300 0.413965 0.501314 0.015199
0.706586 0.542473 0.110741 0.671588 0.029127
0.002053 0.697735 0.335144 0.511151 0.011244
0.897434 0.845750 0.352803 0.457720 0.013911
0.000814 0.720983 0.323534 0.416367 0.012069
0.499667 0.934538 0.291563 0.450986 0.011375
0.000897 0.269859 0.337638 0.548322 0.011833
0.708593 0.739624 0.331646 0.476968 0.011507
0.000259 0.358888 0.369965 0.572454 0.013254
0.714979 0.345136 0.128819 0.660518 0.002160
0.056239 0.317231 0.450577 0.515145 0.011690
0.790767 0.583516 0.108207 0.533006 0.066346
0.000010 0.302444 0.107643 0.596559 0.019050
0.488908 0.585007 0.328533 0.511578 0.011673
0.000067 0.385765 0.117160 0.633809 0.027469
0.712563 0.479881 0.096918 0.610073 0.046430
0.284943 0.415521 0.118629 0.630159 0.009951
1.090654 0.197844 0.201519 0.802741 0.020604
0.386111 0.457875 0.126846 0.661857 0.010638
0.858620 0.207446 0.289649 0.499846 0.011743
0.502735 0.327131 0.135573 0.645738 0.011367
0.862361 0.981450 0.311044 0.469297 0.013654
0.000170 0.166213 0.199879 0.560522 0.006970
0.752945 0.377102 0.059094 0.535244 0.057925
0.062629 0.339531 0.341197 0.566261 0.012114
0.900143 0.831306 0.281930 0.448929 0.010085
0.002162 0.194166 0.251399 0.482147 0.008249
0.686495 0.504465 0.128303 0.755010 0.018409
0.000077 0.200343 0.105346 0.776764 0.015461
0.842122 0.393507 0.379153 0.582366 0.021867
0.000109 0.337477 0.115414 0.623478 0.010717
0.349829 0.103225 0.175472 0.742360 0.047437
0.000584 0.338513 0.359276 0.513582 0.012701
0.768673 0.497236 0.405850 0.508583 0.016517
0.000088 0.551028 0.109161 0.612801 0.056106
0.377353 0.323207 0.152739 0.788504 0.024761
0.000091 0.370967 0.108243 0.628301 0.033153
0.903093 0.555176 0.447062 0.442677 0.016093
0.000051 0.330988 0.117685 0.633265 0.015867
1.026134 0.401238 0.476397 0.616965 0.032409
0.000035 0.386981 0.191125 0.716604 0.024790
0.719456 0.462772 0.120172 0.645738 0.015297
0.000103 0.387792 0.318565 0.616965 0.021672
0.990627 0.997837 0.052571 0.889665 0.043348
0.000984 0.583925 0.371307 0.470095 0.012779
1.041417 0.392618 0.190139 0.716604 0.024662
0.000295 0.107065 0.160124 0.707525 0.005918
0.579841 0.542780 0.445551 0.439496 0.014768
0.018277 0.315666 0.310298 0.473811 0.010893
0.632073 0.371540 0.122877 0.640942 0.001451
0.255575 0.232532 0.054563 0.807904 0.017670
0.823837 0.661028 0.314370 0.435385 0.011696
0.000638 0.388536 0.269243 0.684269 0.009366
0.789180 0.749034 0.322202 0.458565 0.012968
0.000159 0.176940 0.295251 0.694134 0.019711
0.972425 0.665832 0.338710 0.449200 0.012282
0.000160 0.321476 0.216765 0.810075 0.007886
1.012697 0.254315 0.182328 0.862636 0.037485
0.002466 0.208345 0.264197 0.537731 0.009461
0.176655 0.623750 0.327373 0.501076 0.011039
0.000047 0.399344 0.118637 0.640942 0.001401
0.616555 0.733513 0.310810 0.417627 0.012092
0.003498 0.400698 0.423808 0.437413 0.014409
0.987412 0.740424 0.285997 0.505863 0.010714
0.000057 0.377307 0.120740 0.613930 0.027046
0.683493 0.444087 0.112862 0.661233 0.022876
0.000048 0.770244 0.135434 0.488380 0.082113
1.040927 0.801156 0.285537 0.472447 0.010214
0.000596 0.311889 0.312972 0.520808 0.010840
0.989489 0.795612 0.361432 0.473507 0.011970
0.000438 0.315491 0.273871 0.560044 0.009590
0.955713 0.391560 0.313506 0.619609 0.012275
0.000603 0.522944 0.305912 0.492148 0.010353
0.687117 0.336514 0.128768 0.592876 0.009177
0.000119 0.446387 0.144601 0.798129 0.024551
0.738198 0.509081 0.045144 0.604851 0.088069
0.000025 0.321726 0.122293 0.788504 0.019825
0.737073 0.287351 0.196737 0.762946 0.030655
0.000253 0.751237 0.365583 0.436744 0.013924
0.855773 0.684247 0.254707 0.493688 0.008537
0.000066 0.424712 0.112840 0.663494 0.026338
0.587744 0.761627 0.379857 0.409192 0.013745
0.040944 0.281136 0.317690 0.537257 0.011409
0.218880 0.105287 0.186917 0.857809 0.051175
0.000143 0.423455 0.109847 0.661233 0.022265
0.679330 0.532231 0.115780 0.633265 0.015610
0.034106 0.231112 0.252535 0.576948 0.008441
0.982177 0.445447 0.345604 0.568147 0.013157
0.001431 0.651799 0.278006 0.434650 0.009729
0.584366 0.240230 0.200198 0.779490 0.017191
0.000009 0.154398 0.081785 0.820867 0.038922
0.707579 0.931252 0.264775 0.466503 0.010130
0.000356 0.093391 0.147819 0.704336 0.005968
0.909478 0.984957 0.321358 0.439303 0.012976
0.000241 0.410619 0.329773 0.491360 0.012339
0.358829 0.185420 0.342120 0.694134 0.022840
0.576638 0.184030 0.116986 0.631407 0.009792
0.788253 0.596093 0.308232 0.467020 0.010675
0.000027 0.249260 0.155757 0.862636 0.032022
0.262408 0.188728 0.105613 0.906910 0.064020
0.000121 0.373207 0.136245 0.774346 0.016883
1.093381 0.902290 0.117072 0.774346 0.014507
0.341756 0.385946 0.123770 0.660518 0.010380
0.629358 0.915401 0.314723 0.446478 0.010395
0.000015 0.280488 0.117247 0.769143 0.010430
0.958234 0.861102 0.264500 0.534750 0.010982
0.000458 0.323768 0.331442 0.424250 0.011317
0.953095 0.686930 0.272131 0.434174 0.009558
0.000737 0.210870 0.263985 0.571808 0.008440
0.720262 0.969870 0.288661 0.455064 0.011625
0.000085 0.753173 0.160985 0.510204 0.064735
0.763997 0.975180 0.291145 0.468947 0.008173
0.000028 0.276294 0.165979 0.762946 0.025862
0.324845 0.170436 0.146927 0.820867 0.069923
0.000309 0.427550 0.363931 0.567629 0.009929
0.924003 0.942655 0.335260 0.463538 0.007804
0.000416 0.530079 0.386592 0.456365 0.014423
0.737743 0.409686 0.130929 0.613930 0.029328
0.000018 0.260211 0.115919 0.755010 0.016632
0.797959 0.371812 0.061242 0.599552 0.087387
0.000169 0.183025 0.186478 0.802741 0.019066
