# Wavelength	Leaf reflectance	Leaf transmittance	Soil reflectance	Direct-to-global irradiance ratio
#  N=1.506743685, Cab=49.749954, Cw=0.009835775, Cm=0.0041699, Car=11.78, Cbrown=0.0, Anth=7.8, Cp=0.00096, Ccl=0.00228
4.500000000000000000e+02	4.197609522964736856e-02	3.712326954211002915e-03	0.000000000000000000e+00	7.141994415403368768e-01
4.550000000000000000e+02	4.300132987735159201e-02	6.682796028795808148e-03	0.000000000000000000e+00	7.204378098250379114e-01
4.600000000000000000e+02	4.426003981263233744e-02	9.714707808849401896e-03	0.000000000000000000e+00	7.262756907534103634e-01
4.650000000000000000e+02	4.504984357346333845e-02	1.155626751820368163e-02	0.000000000000000000e+00	7.317326933572158021e-01
4.700000000000000000e+02	4.563436276423067650e-02	1.286777837310553764e-02	0.000000000000000000e+00	7.368268923013582272e-01
4.750000000000000000e+02	4.612430277326667188e-02	1.399182920298379200e-02	0.000000000000000000e+00	7.422558411691393410e-01
4.800000000000000000e+02	4.699717515874664298e-02	1.576596436796356276e-02	0.000000000000000000e+00	7.473580745675879600e-01
4.850000000000000000e+02	4.882919413912912426e-02	1.917808494082667500e-02	0.000000000000000000e+00	7.521498966601811720e-01
4.900000000000000000e+02	5.274191204278196737e-02	2.576189285827272524e-02	0.000000000000000000e+00	7.568783112269219515e-01
4.950000000000000000e+02	6.038022841929201190e-02	3.729130904600277963e-02	0.000000000000000000e+00	7.616753385888322958e-01
5.000000000000000000e+02	7.459987773196825878e-02	5.653025716169040454e-02	0.000000000000000000e+00	7.662050179253104831e-01
5.050000000000000000e+02	9.869322158184526406e-02	8.593987279171699800e-02	0.000000000000000000e+00	7.704803781638400739e-01
5.100000000000000000e+02	1.357857555669696736e-01	1.277092136090096086e-01	0.000000000000000000e+00	7.745126364016173826e-01
5.150000000000000000e+02	1.865535276032339596e-01	1.818520373045745264e-01	0.000000000000000000e+00	7.783139667862780664e-01
5.200000000000000000e+02	2.370989120088643209e-01	2.342496185525464181e-01	0.000000000000000000e+00	7.825047500218065277e-01
5.250000000000000000e+02	2.605903993700215415e-01	2.587176638852338173e-01	0.000000000000000000e+00	7.864846650159813546e-01
5.300000000000000000e+02	2.450687509008965537e-01	2.437304406910152377e-01	0.000000000000000000e+00	7.902637442762772135e-01
5.350000000000000000e+02	2.110053525638356520e-01	2.096462702490791696e-01	0.000000000000000000e+00	7.938503953121712753e-01
5.400000000000000000e+02	1.782071681102334326e-01	1.762707681927786763e-01	0.000000000000000000e+00	7.972534418641015197e-01
5.450000000000000000e+02	1.544611885389452210e-01	1.517324435247531522e-01	0.000000000000000000e+00	8.004815241285460070e-01
5.500000000000000000e+02	1.394537353981946393e-01	1.361481321137993084e-01	0.000000000000000000e+00	8.035427800171448531e-01
5.550000000000000000e+02	1.288408305728258874e-01	1.250942012624086941e-01	0.000000000000000000e+00	8.068888679865749980e-01
5.600000000000000000e+02	1.201775978159355107e-01	1.160825470436056550e-01	0.000000000000000000e+00	8.100812075647987331e-01
5.650000000000000000e+02	1.108284994750142333e-01	1.060848004048757370e-01	0.000000000000000000e+00	8.131253381959423487e-01
5.700000000000000000e+02	9.919825659681454078e-02	9.308413217177755050e-02	0.000000000000000000e+00	8.160289443603752080e-01
5.750000000000000000e+02	8.830312238372839406e-02	8.049329291006007692e-02	0.000000000000000000e+00	8.187963777444435820e-01
5.800000000000000000e+02	8.024201473730939449e-02	7.096569744549488523e-02	0.000000000000000000e+00	8.214352319325469720e-01
5.850000000000000000e+02	7.430550559827685253e-02	6.384254094972420523e-02	0.000000000000000000e+00	8.239499190157514308e-01
5.900000000000000000e+02	7.017625250936870840e-02	5.883982876578172649e-02	0.000000000000000000e+00	8.263461597141299464e-01
5.950000000000000000e+02	6.747916092074138228e-02	5.560074227659161233e-02	0.000000000000000000e+00	8.290927906228302557e-01
6.000000000000000000e+02	6.535862452654021826e-02	5.306419228946663430e-02	0.000000000000000000e+00	8.317289696906084995e-01
6.050000000000000000e+02	6.269314616947053997e-02	4.970357688267584145e-02	0.000000000000000000e+00	8.342589374693607507e-01
6.100000000000000000e+02	5.911431027348842265e-02	4.486626430646883240e-02	0.000000000000000000e+00	8.366873522918696349e-01
6.150000000000000000e+02	5.538133437789000135e-02	3.961397393706071052e-02	0.000000000000000000e+00	8.390174862255109778e-01
6.200000000000000000e+02	5.244840630475994248e-02	3.536349371972922345e-02	0.000000000000000000e+00	8.412535247572701103e-01
6.250000000000000000e+02	5.081819408537664728e-02	3.303038300608169414e-02	0.000000000000000000e+00	8.433990360342612513e-01
6.300000000000000000e+02	5.007937514830490544e-02	3.204658153667676312e-02	0.000000000000000000e+00	8.454585421469685835e-01
6.350000000000000000e+02	4.884390486921327129e-02	3.019892718826647574e-02	0.000000000000000000e+00	8.475385035968224789e-01
6.400000000000000000e+02	4.605975930814256575e-02	2.558359270893385481e-02	0.000000000000000000e+00	8.496922675160878402e-01
6.450000000000000000e+02	4.276320263351703066e-02	1.969160599597276698e-02	0.000000000000000000e+00	8.517672200681777328e-01
6.500000000000000000e+02	4.043299564549613506e-02	1.517325152753882904e-02	0.000000000000000000e+00	8.537667081776671996e-01
6.550000000000000000e+02	3.909541079678517661e-02	1.238634532196294415e-02	0.000000000000000000e+00	8.556931623061284631e-01
6.600000000000000000e+02	3.748406651677237134e-02	8.744986209781148781e-03	0.000000000000000000e+00	8.575493232363680107e-01
6.650000000000000000e+02	3.602027099055388898e-02	4.863344817228644479e-03	0.000000000000000000e+00	8.593381541160656223e-01
6.700000000000000000e+02	3.532103464765950357e-02	2.725831642507971480e-03	0.000000000000000000e+00	8.610623168811553096e-01
6.750000000000000000e+02	3.510895398308961496e-02	2.023044668606871575e-03	0.000000000000000000e+00	8.628698041361311244e-01
6.800000000000000000e+02	3.512968719340434087e-02	2.298291276780041210e-03	0.000000000000000000e+00	8.646153212894970297e-01
6.850000000000000000e+02	3.636249682170814013e-02	6.279411698768447986e-03	0.000000000000000000e+00	8.663021456635006112e-01
6.900000000000000000e+02	4.353306612048021135e-02	2.182862546218657454e-02	0.000000000000000000e+00	8.679310081660689402e-01
6.950000000000000000e+02	6.627688841199397274e-02	5.751696679955573682e-02	0.000000000000000000e+00	8.695599576591561686e-01
7.000000000000000000e+02	1.071973723046419358e-01	1.100665170278062877e-01	0.000000000000000000e+00	8.713566001975792119e-01
7.050000000000000000e+02	1.561102649393509290e-01	1.666128254122506147e-01	0.000000000000000000e+00	8.730994671321897771e-01
7.100000000000000000e+02	2.041713096621108059e-01	2.194043347691952972e-01	0.000000000000000000e+00	8.747913327914087489e-01
7.150000000000000000e+02	2.502830357644270642e-01	2.688090930167653658e-01	0.000000000000000000e+00	8.764329593532861340e-01
7.200000000000000000e+02	2.941570141550967077e-01	3.151101515975482381e-01	0.000000000000000000e+00	8.780261049180411170e-01
7.250000000000000000e+02	3.340840187076237755e-01	3.570160599850938365e-01	0.000000000000000000e+00	8.795725450627629449e-01
7.300000000000000000e+02	3.682255752763239354e-01	3.926810215437327445e-01	0.000000000000000000e+00	8.810730621832117970e-01
7.350000000000000000e+02	3.954619472982246475e-01	4.211616791514670721e-01	0.000000000000000000e+00	8.825309733081474484e-01
7.400000000000000000e+02	4.155857630580780393e-01	4.423314095668560153e-01	0.000000000000000000e+00	8.839456666294427389e-01
7.450000000000000000e+02	4.292190563260562808e-01	4.567976921091876918e-01	0.000000000000000000e+00	8.853205071632395118e-01
7.500000000000000000e+02	4.375942277558977356e-01	4.657609456232855716e-01	0.000000000000000000e+00	8.866548920961709879e-01
7.550000000000000000e+02	4.440101693346906742e-01	4.728744107733264812e-01	0.000000000000000000e+00	8.879505647782046651e-01
7.600000000000000000e+02	4.501952431418441702e-01	4.796108651481406637e-01	0.000000000000000000e+00	8.892098645070516394e-01
7.650000000000000000e+02	4.557381444845191587e-01	4.856219524124138487e-01	0.000000000000000000e+00	8.906879676608823182e-01
7.700000000000000000e+02	4.602216424217499546e-01	4.904818691048520862e-01	0.000000000000000000e+00	8.921292505753287694e-01
7.750000000000000000e+02	4.632435133103804392e-01	4.937063030524813101e-01	0.000000000000000000e+00	8.935333731104148081e-01
7.800000000000000000e+02	4.643407347832637644e-01	4.948974250638210615e-01	0.000000000000000000e+00	8.949012681197467955e-01
7.850000000000000000e+02	4.643534870140995086e-01	4.949104056652620653e-01	0.000000000000000000e+00	8.962350877787568226e-01
7.900000000000000000e+02	4.644461131138291066e-01	4.948561675921319680e-01	0.000000000000000000e+00	8.975336856534598118e-01
7.950000000000000000e+02	4.645016017991639434e-01	4.948384148958534512e-01	0.000000000000000000e+00	8.988001118230809494e-01
8.000000000000000000e+02	4.645907162109428334e-01	4.947807152050784363e-01	0.000000000000000000e+00	9.000345057220157097e-01
8.050000000000000000e+02	4.646674206023858611e-01	4.947104653385556161e-01	0.000000000000000000e+00	9.012374813787813466e-01
8.100000000000000000e+02	4.646699361680579621e-01	4.947130247587125940e-01	0.000000000000000000e+00	9.024102267179818782e-01
