# Wavelength	albedo
397.000000 0.607679
400.000000 0.613495
403.000000 0.619147
406.000000 0.624641
409.000000 0.629981
412.000000 0.635172
415.000000 0.640220
418.000000 0.645130
420.000000 0.648328
423.000000 0.653016
426.000000 0.657578
429.000000 0.662018
432.000000 0.666339
435.000000 0.670546
438.000000 0.674643
441.000000 0.678632
444.000000 0.682519
446.000000 0.685054
449.000000 0.688776
452.000000 0.692403
455.000000 0.695939
458.000000 0.699387
461.000000 0.702749
464.000000 0.706029
467.000000 0.709229
470.000000 0.712352
473.000000 0.715399
476.000000 0.718374
478.000000 0.720319
481.000000 0.723178
484.000000 0.725972
487.000000 0.728700
490.000000 0.731367
493.000000 0.733973
496.000000 0.736520
499.000000 0.739011
502.000000 0.741447
505.000000 0.743830
508.000000 0.746161
510.000000 0.747687
513.000000 0.749935
516.000000 0.752135
519.000000 0.754290
522.000000 0.756399
525.000000 0.758465
528.000000 0.760489
531.000000 0.762471
534.000000 0.764414
537.000000 0.766318
540.000000 0.768185
543.000000 0.770015
546.000000 0.771809
549.000000 0.773569
551.000000 0.774724
554.000000 0.776428
557.000000 0.778101
560.000000 0.779742
563.000000 0.781353
566.000000 0.782935
569.000000 0.784488
572.000000 0.786013
575.000000 0.787510
578.000000 0.788982
581.000000 0.790427
584.000000 0.791848
587.000000 0.793244
590.000000 0.794616
593.000000 0.795965
596.000000 0.797291
599.000000 0.798595
602.000000 0.799878
605.000000 0.801140
607.000000 0.801969
610.000000 0.803197
613.000000 0.804405
616.000000 0.805594
619.000000 0.806765
622.000000 0.807917
625.000000 0.809051
628.000000 0.810168
631.000000 0.811268
634.000000 0.812352
637.000000 0.813419
640.000000 0.814470
643.000000 0.815506
646.000000 0.816527
649.000000 0.817533
652.000000 0.818524
655.000000 0.819502
658.000000 0.820465
661.000000 0.821415
664.000000 0.822352
667.000000 0.823276
670.000000 0.824188
673.000000 0.825087
676.000000 0.825974
679.000000 0.826849
682.000000 0.827712
685.000000 0.828564
688.000000 0.829405
691.000000 0.830236
694.000000 0.831055
697.000000 0.831864
700.000000 0.832663
703.000000 0.833452
706.000000 0.834231
709.000000 0.835000
712.000000 0.835760
715.000000 0.836510
718.000000 0.837252
721.000000 0.837985
724.000000 0.838708
727.000000 0.839424
730.000000 0.840131
733.000000 0.840830
736.000000 0.841520
739.000000 0.842203
742.000000 0.842878
745.000000 0.843545
748.000000 0.844205
751.000000 0.844858
754.000000 0.845503
757.000000 0.846141
760.000000 0.846772
763.000000 0.847397
766.000000 0.848015
769.000000 0.848626
772.000000 0.849230
775.000000 0.849828
778.000000 0.850420
781.000000 0.851006
784.000000 0.851586
787.000000 0.852160
790.000000 0.852728
793.000000 0.853290
796.000000 0.853846
799.000000 0.854397
802.000000 0.854943
805.000000 0.855483
808.000000 0.856018
811.000000 0.856548
814.000000 0.857072
817.000000 0.857592
820.000000 0.858106
823.000000 0.858616
826.000000 0.859121
829.000000 0.859621
832.000000 0.860117
835.000000 0.860608
838.000000 0.861094
841.000000 0.861576
844.000000 0.862054
847.000000 0.862527
850.000000 0.862996
853.000000 0.863461
856.000000 0.863922
859.000000 0.864379
862.000000 0.864832
866.000000 0.865429
869.000000 0.865873
872.000000 0.866313
875.000000 0.866749
878.000000 0.867182
881.000000 0.867610
884.000000 0.868036
887.000000 0.868457
890.000000 0.868875
893.000000 0.869290
896.000000 0.869702
899.000000 0.870110
902.000000 0.870514
905.000000 0.870916
908.000000 0.871314
911.000000 0.871709
914.000000 0.872101
917.000000 0.872490
920.000000 0.872876
924.000000 0.873386
927.000000 0.873765
930.000000 0.874141
933.000000 0.874514
936.000000 0.874884
939.000000 0.875252
942.000000 0.875616
945.000000 0.875979
948.000000 0.876338
951.000000 0.876695
954.000000 0.877049
957.000000 0.877400
960.000000 0.877749
963.000000 0.878095
967.000000 0.878553
970.000000 0.878894
973.000000 0.879232
976.000000 0.879568
979.000000 0.879901
982.000000 0.880232
985.000000 0.880561
988.000000 0.880887
991.000000 0.881212
994.000000 0.881534
997.000000 0.881853
1000.000000 0.882171
1004.000000 0.882591
