# Wavelength	albedo
397.000000 0.039998
400.000000 0.039998
403.000000 0.040073
406.000000 0.040351
409.000000 0.040768
412.000000 0.041107
415.000000 0.041614
418.000000 0.042117
420.000000 0.042459
423.000000 0.042923
426.000000 0.043456
429.000000 0.043761
432.000000 0.044030
435.000000 0.044292
438.000000 0.044476
441.000000 0.044699
444.000000 0.044932
446.000000 0.045071
449.000000 0.045314
452.000000 0.045651
455.000000 0.046028
458.000000 0.046428
461.000000 0.046758
464.000000 0.046987
467.000000 0.047246
470.000000 0.047494
473.000000 0.047644
476.000000 0.047769
478.000000 0.047899
481.000000 0.048160
484.000000 0.048652
487.000000 0.049514
490.000000 0.050970
493.000000 0.053184
496.000000 0.056427
499.000000 0.061141
502.000000 0.067653
505.000000 0.076235
508.000000 0.087328
510.000000 0.096199
513.000000 0.112092
516.000000 0.130787
519.000000 0.151409
522.000000 0.172716
525.000000 0.192962
528.000000 0.210480
531.000000 0.224449
534.000000 0.234709
537.000000 0.241996
540.000000 0.247005
543.000000 0.250805
546.000000 0.254610
549.000000 0.257961
551.000000 0.259918
554.000000 0.260767
557.000000 0.258769
560.000000 0.253557
563.000000 0.245901
566.000000 0.236135
569.000000 0.224269
572.000000 0.211711
575.000000 0.199894
578.000000 0.189953
581.000000 0.181601
584.000000 0.174709
587.000000 0.169016
590.000000 0.164485
593.000000 0.161085
596.000000 0.158658
599.000000 0.156428
602.000000 0.153717
605.000000 0.149785
607.000000 0.146344
610.000000 0.140331
613.000000 0.133975
616.000000 0.127801
619.000000 0.122602
622.000000 0.118981
625.000000 0.116747
628.000000 0.115635
631.000000 0.114738
634.000000 0.112717
637.000000 0.108464
640.000000 0.102018
643.000000 0.094364
646.000000 0.086969
649.000000 0.081043
652.000000 0.076921
655.000000 0.073303
658.000000 0.068772
661.000000 0.063406
664.000000 0.058455
667.000000 0.055010
670.000000 0.053341
673.000000 0.053094
676.000000 0.053931
679.000000 0.055834
682.000000 0.059516
685.000000 0.066993
688.000000 0.082615
691.000000 0.111939
694.000000 0.157387
697.000000 0.216298
700.000000 0.282688
703.000000 0.350123
706.000000 0.413882
709.000000 0.473169
712.000000 0.528629
715.000000 0.580860
718.000000 0.629648
721.000000 0.674764
724.000000 0.715691
727.000000 0.751780
730.000000 0.782969
733.000000 0.809544
736.000000 0.831263
739.000000 0.849091
742.000000 0.863335
745.000000 0.874334
748.000000 0.882694
751.000000 0.888875
754.000000 0.893303
757.000000 0.896712
760.000000 0.899074
763.000000 0.901042
766.000000 0.902879
769.000000 0.904591
772.000000 0.906311
775.000000 0.907769
778.000000 0.909089
781.000000 0.910416
784.000000 0.911452
787.000000 0.912394
790.000000 0.913172
793.000000 0.913691
796.000000 0.914198
799.000000 0.914430
802.000000 0.914507
805.000000 0.914590
808.000000 0.914660
811.000000 0.914702
814.000000 0.914737
817.000000 0.914755
820.000000 0.914773
823.000000 0.914735
826.000000 0.914617
829.000000 0.914467
832.000000 0.914308
835.000000 0.914205
838.000000 0.914161
841.000000 0.914137
844.000000 0.914134
847.000000 0.914142
850.000000 0.914147
853.000000 0.914148
856.000000 0.914137
859.000000 0.914137
862.000000 0.914154
866.000000 0.914104
869.000000 0.914103
872.000000 0.914062
875.000000 0.914032
878.000000 0.913998
881.000000 0.913926
884.000000 0.913870
887.000000 0.913853
890.000000 0.913794
893.000000 0.913738
896.000000 0.913684
899.000000 0.913630
902.000000 0.913558
905.000000 0.913522
908.000000 0.913402
911.000000 0.913334
914.000000 0.913162
917.000000 0.912899
920.000000 0.912694
924.000000 0.912012
927.000000 0.911550
930.000000 0.910548
933.000000 0.909907
936.000000 0.908864
939.000000 0.907921
942.000000 0.906165
945.000000 0.904841
948.000000 0.903416
951.000000 0.900016
954.000000 0.897412
957.000000 0.894921
960.000000 0.893151
963.000000 0.891899
967.000000 0.891222
970.000000 0.891004
973.000000 0.890838
976.000000 0.890727
979.000000 0.890960
982.000000 0.891307
985.000000 0.891784
988.000000 0.892376
991.000000 0.893065
994.000000 0.893800
997.000000 0.894668
1000.000000 0.895558
1004.000000 0.896761
